Config::BEGIN@9	href=Config-pm-7-line.html#9
Test::Builder::__ANON__[lib/Test/Builder.pm:66]	href=lib-Test-Builder-pm-6-line.html#66
Test::More::BEGIN@1313	href=lib-Test-More-pm-4-line.html#1313
Test::Builder::CORE:print	href=lib-Test-Builder-pm-6-line.html#Test__Builder__CORE_print
Test::Builder::BEGIN@2248	href=lib-Test-Builder-pm-6-line.html#2248
Test::Builder::level	href=lib-Test-Builder-pm-6-line.html#1590
Test::Builder::Module::builder	href=lib-Test-Builder-Module-pm-5-line.html#169
main::BEGIN@2	href=profiling-long-run-pl-1-line.html#2
Test::Builder::is_eq	href=lib-Test-Builder-pm-6-line.html#987
Test::Builder::BEGIN@1667	href=lib-Test-Builder-pm-6-line.html#1667
Config::TIEHASH	href=Config-pm-7-line.html#63
Test::Builder::exported_to	href=lib-Test-Builder-pm-6-line.html#779
Test::More::_type	href=lib-Test-More-pm-4-line.html#1132
UNIVERSAL::VERSION	href=profiling-long-run-pl-1-line.html#UNIVERSAL__VERSION
Test::Builder::BEGIN@4	href=lib-Test-Builder-pm-6-line.html#4
Test::Builder::is_passing	href=lib-Test-Builder-pm-6-line.html#2109
Test::Builder::_caller_context	href=lib-Test-Builder-pm-6-line.html#1229
Test::Builder::_is_qr	href=lib-Test-Builder-pm-6-line.html#1440
Test::Builder::current_test	href=lib-Test-Builder-pm-6-line.html#2061
Test::Builder::cmp_ok	href=lib-Test-Builder-pm-6-line.html#1158
warnings::CORE:regcomp	href=warnings-pm-3-line.html#warnings__CORE_regcomp
Test::Builder::_my_exit	href=lib-Test-Builder-pm-6-line.html#2443
Test::More::BEGIN@1679	href=lib-Test-More-pm-4-line.html#1679
Test::Builder::new	href=lib-Test-Builder-pm-6-line.html#121
Test::Builder::_try	href=lib-Test-Builder-pm-6-line.html#1518
Test::Builder::caller	href=lib-Test-Builder-pm-6-line.html#2367
Test::Builder::done_testing	href=lib-Test-Builder-pm-6-line.html#686
warnings::register::mkMask	href=register-pm-15-line.html#27
overload::BEGIN@139	href=overload-pm-14-line.html#139
main::CORE:print	href=profiling-long-run-pl-1-line.html#main__CORE_print
Test::Builder::Module::BEGIN@3	href=lib-Test-Builder-Module-pm-5-line.html#3
Test::Builder::_copy_io_layers	href=lib-Test-Builder-pm-6-line.html#1964
Test::More::_deep_check	href=lib-Test-More-pm-4-line.html#1518
Test::Builder::_share_keys	href=lib-Test-Builder-pm-6-line.html#479
strict::bits	href=strict-pm-2-line.html#18
Test::Builder::has_plan	href=lib-Test-Builder-pm-6-line.html#737
Test::Builder::__ANON__[lib/Test/Builder.pm:917]	href=lib-Test-Builder-pm-6-line.html#917
Test::Builder::CORE:subst	href=lib-Test-Builder-pm-6-line.html#Test__Builder__CORE_subst
